,precision,recall,f1-score,support
akiec,0.4696969696969697,0.28440366972477066,0.35428571428571426,327.0
bcc,0.6424581005586593,0.4474708171206226,0.5275229357798165,514.0
bkl,0.4805755395683453,0.607825295723385,0.5367617517075131,1099.0
df,0.0,0.0,0.0,115.0
mel,0.5924764890282131,0.33962264150943394,0.431753283837807,1113.0
nv,0.8565573770491803,0.9351230425055929,0.8941176470588236,6705.0
vasc,0.9099099099099099,0.7112676056338029,0.7984189723320159,142.0
accuracy,0.7728407388916625,0.7728407388916625,0.7728407388916625,0.7728407388916625
macro avg,0.564524912258754,0.47510186745965827,0.5061229007145271,10015.0
weighted avg,0.753251886507642,0.7728407388916625,0.755454329026545,10015.0
